game_id,return,n_bets,datetime
2738735,0.48100043271614307,25,2019-04-27
2738739,0.0,16,2019-04-27
2738740,0.16690340207095672,32,2019-04-27
2746105,0.0,12,2019-05-04
2746106,0.9910630319321992,34,2019-05-04
2769657,0.1793587784390874,14,2019-05-18
2769659,0.0,6,2019-05-18
2769660,1.2041205724058053,14,2019-05-18
2777281,0.0,12,2019-05-27
2777282,1.1504192325944154,21,2019-05-27
2833635,0.0,25,2019-07-21
2833638,0.0,16,2019-07-21
2833639,0.0,11,2019-07-21
2833642,0.41010243821801046,7,2019-07-21
2851290,0.9746208453775284,11,2019-08-03
2851291,0.9453323406195623,22,2019-08-03
2858601,0.3153181301111241,13,2019-08-10
2858603,0.6963132113276499,7,2019-08-10
2858605,0.0,10,2019-08-10
2875730,0.6768357208147942,7,2019-08-24
2875743,0.4631673167803524,5,2019-08-24
2885985,0.3377737657199156,16,2019-09-01
2885997,0.654130605740199,23,2019-09-01
2885996,0.23809537533562433,11,2019-09-01
2886002,0.0,15,2019-09-01
2886001,0.1987162876777055,6,2019-09-01
2900582,0.0,22,2019-09-14
2900600,0.6753887673049868,23,2019-09-14
2900602,0.6384291044095931,34,2019-09-14
2925721,0.9010816522464058,26,2019-09-30
2925720,0.31971466368616835,12,2019-09-30
2924277,0.0,22,2019-09-30
2932126,0.0,15,2019-10-05
2932127,0.13649896518447716,13,2019-10-05
2932130,0.06414739997103523,6,2019-10-05
2932129,0.8267888211486756,14,2019-10-05
2941769,0.6094631425927203,8,2019-10-12
2941770,0.6884454506118136,5,2019-10-12
2950803,0.0,7,2019-10-19
2950806,1.2124627718658916,22,2019-10-19
2950807,1.1106556669807697,10,2019-10-21
2954906,1.0487454863719592,19,2019-10-21
2961961,0.0,6,2019-10-26
2961962,0.0,19,2019-10-26
2961965,0.6757019942495514,13,2019-10-26
2963961,0.0,18,2019-10-26
2970332,0.0,25,2019-11-01
2970331,0.0,17,2019-11-01
2981424,1.0380688454879692,32,2019-11-09
2981426,0.0,33,2019-11-09
2991097,0.5141256836912061,18,2019-11-16
2991098,0.0,13,2019-11-16
3006664,0.11721404080592025,17,2019-11-27
3006665,0.6778668882176887,20,2019-11-27
3017441,0.4153146039806162,13,2019-12-04
3017446,0.464250143721035,38,2019-12-04
3017445,0.37642524018037404,12,2019-12-04
4698245,0.5690094874324663,16,2020-08-08
4698244,0.0,62,2020-08-08
4698262,0.49763018256582375,30,2020-08-15
4698264,0.421089402301695,44,2020-08-15
4698284,0.9271568767250813,25,2020-08-22
4698282,0.0,9,2020-08-22
4698324,0.20042376017012956,11,2020-09-09
4698325,0.0,18,2020-09-09
4698326,0.3957453172938559,19,2020-09-09
4698319,0.47145220537062726,19,2020-09-09
4698345,0.7750375867350828,48,2020-09-19
4698340,0.36655826854054474,20,2020-09-19
4698354,1.2088845336542142,13,2020-09-26
4698352,0.0,10,2020-09-26
4786982,0.6797229642575298,16,2020-10-01
4786983,0.47588098907755944,19,2020-10-01
4698389,0.641900170827042,17,2020-10-14
4893905,0.8740219444184948,27,2020-10-14
4698390,0.0,17,2020-10-14
4396073,0.0,18,2020-10-17
4396071,0.0,21,2020-10-17
4396064,1.2296256171156643,26,2020-10-17
4396070,0.5088206147880177,57,2020-10-19
4396065,1.097925522435764,14,2020-10-19
4396077,0.0,36,2020-10-24
4396082,0.0,13,2020-10-24
4396085,0.8950314876592509,12,2020-10-31
4396088,0.0,39,2020-10-31
4396091,0.0,4,2020-10-31
4396086,0.46622650473623883,17,2020-11-02
4396089,0.0,23,2020-11-02
4396121,0.0,26,2020-11-21
4396114,0.0,21,2020-11-21
4396128,0.7897499039681738,31,2020-11-26
4396131,0.0,17,2020-11-26
4396132,0.1506152228161259,13,2020-11-26
4396163,0.5622061455489166,23,2020-12-17
4396156,0.4358729275844543,18,2020-12-17
